COUNTRY,SYMBOLS,YEAR,production|Copper|Mine|tonnes
Zimbabwe,ZWE,1970,24000
Albania,ALB,1971,6500
Algeria,DZA,1971,514
Argentina,ARG,1971,497
Australia,AUS,1971,177261
Austria,AUT,1971,2575
Bolivia,BOL,1971,7809
Brazil,BRA,1971,5418
Bulgaria,BGR,1971,44400
Canada,CAN,1971,654470
Chile,CHL,1971,708300
Congo,COG,1971,2070
Cuba,CUB,1971,0
Democratic Republic of Congo,COD,1971,407700
East Germany,OWID_GDR,1971,15000
Ecuador,ECU,1971,565
Finland,FIN,1971,28500
France,FRA,1971,248
Haiti,HTI,1971,6500
India,IND,1971,11096
Indonesia,IDN,1971,0
Ireland,IRL,1971,11800
Israel,ISR,1971,10700
Italy,ITA,1971,1540
Japan,JPN,1971,120551
Kenya,KEN,1971,73
Mauritania,MRT,1971,4740
Mexico,MEX,1971,63150
Morocco,MAR,1971,2595
Myanmar,MMR,1971,80
Namibia,NAM,1971,25900
New Zealand,NZL,1971,85
Nicaragua,NIC,1971,3662
North Korea,PRK,1971,13000
Norway,NOR,1971,21672
Papua New Guinea,PNG,1971,0
Peru,PER,1971,207346
Philippines,PHL,1971,197573
Poland,POL,1971,122300
Portugal,PRT,1971,3957
South Africa,ZAF,1971,148400
South Korea,KOR,1971,1773
Spain,ESP,1971,34032
Sweden,SWE,1971,30200
Taiwan,TWN,1971,2400
Turkey,TUR,1971,30000
USSR,OWID_USS,1971,990000
United States,USA,1971,1380894
West Germany,OWID_GFR,1971,1484
World,OWID_WRL,1971,5940000
Yugoslavia,OWID_YGS,1971,94392
Zambia,ZMB,1971,651400
Zimbabwe,ZWE,1971,23300
Albania,ALB,1972,6700
Algeria,DZA,1972,428
Argentina,ARG,1972,1125
Australia,AUS,1972,185843
Austria,AUT,1972,2231
Bolivia,BOL,1972,8400
Brazil,BRA,1972,4455
Bulgaria,BGR,1972,46300
Canada,CAN,1972,719672
Chile,CHL,1972,716900
China,CHN,1972,115000
Congo,COG,1972,5485
Cuba,CUB,1972,1827
Cyprus,CYP,1972,16767
Democratic Republic of Congo,COD,1972,438501
East Germany,OWID_GDR,1972,20000
Ecuador,ECU,1972,438
Finland,FIN,1972,34800
France,FRA,1972,472
Guatemala,GTM,1972,0
India,IND,1972,15669
Indonesia,IDN,1972,5000
Ireland,IRL,1972,13656
Israel,ISR,1972,11175
Italy,ITA,1972,1049
Japan,JPN,1972,112114
Kenya,KEN,1972,72
Malaysia,MYS,1972,0
Mauritania,MRT,1972,15051
Mexico,MEX,1972,78720
Morocco,MAR,1972,3831
Myanmar,MMR,1972,80
Namibia,NAM,1972,21500
Nicaragua,NIC,1972,2188
North Korea,PRK,1972,13000
Norway,NOR,1972,26007
Papua New Guinea,PNG,1972,124000
Peru,PER,1972,219126
Philippines,PHL,1972,213695
Poland,POL,1972,135000
Portugal,PRT,1972,543
Romania,ROU,1972,30000
South Africa,ZAF,1972,161927
South Korea,KOR,1972,2082
Spain,ESP,1972,39900
Sweden,SWE,1972,30619
Taiwan,TWN,1972,1996
Turkey,TUR,1972,22100
USSR,OWID_USS,1972,1030000
United Kingdom,GBR,1972,238
United States,USA,1972,1510318
West Germany,OWID_GFR,1972,1321
World,OWID_WRL,1972,6540000
Yugoslavia,OWID_YGS,1972,103133
Zambia,ZMB,1972,717700
Zimbabwe,ZWE,1972,31800
Albania,ALB,1973,7000
Algeria,DZA,1973,353
Argentina,ARG,1973,284
Australia,AUS,1973,220335
Austria,AUT,1973,2713
Bolivia,BOL,1973,7971
Botswana,BWA,1973,600
Brazil,BRA,1973,3412
Bulgaria,BGR,1973,48000
Canada,CAN,1973,823942
Chile,CHL,1973,735400
China,CHN,1973,120000
Congo,COG,1973,3709
Cuba,CUB,1973,2107
Cyprus,CYP,1973,14217
Democratic Republic of Congo,COD,1973,488514
East Germany,OWID_GDR,1973,18000
Ecuador,ECU,1973,304
Finland,FIN,1973,38213
France,FRA,1973,414
Guatemala,GTM,1973,0
India,IND,1973,15785
Indonesia,IDN,1973,37900
Ireland,IRL,1973,13046
Israel,ISR,1973,10165
Italy,ITA,1973,858
Japan,JPN,1973,91280
Kenya,KEN,1973,70
Malaysia,MYS,1973,0
Mauritania,MRT,1973,21277
Mexico,MEX,1973,80501
Morocco,MAR,1973,4149
Myanmar,MMR,1973,75
Namibia,NAM,1973,28300
Nicaragua,NIC,1973,1545
North Korea,PRK,1973,13000
Norway,NOR,1973,29947
Papua New Guinea,PNG,1973,182900
Peru,PER,1973,202686
Philippines,PHL,1973,221195
Poland,POL,1973,152000
Portugal,PRT,1973,651
Romania,ROU,1973,40000
South Africa,ZAF,1973,175797
South Korea,KOR,1973,2321
Spain,ESP,1973,51588
Sweden,SWE,1973,44819
Taiwan,TWN,1973,2400
Turkey,TUR,1973,30200
USSR,OWID_USS,1973,1060000
Uganda,UGA,1973,14200
United Kingdom,GBR,1973,459
United States,USA,1973,1558489
West Germany,OWID_GFR,1973,1436
World,OWID_WRL,1973,6920000
Yugoslavia,OWID_YGS,1973,111797
Zambia,ZMB,1973,706574
Zimbabwe,ZWE,1973,35000
Albania,ALB,1974,7000
Algeria,DZA,1974,350
Argentina,ARG,1974,315
Australia,AUS,1974,251340
Austria,AUT,1974,2612
Bolivia,BOL,1974,7433
Botswana,BWA,1974,2755
Brazil,BRA,1974,3075
Bulgaria,BGR,1974,51600
Canada,CAN,1974,821381
Chile,CHL,1974,899700
China,CHN,1974,130000
Colombia,COL,1974,0
Congo,COG,1974,2100
Cuba,CUB,1974,2901
Cyprus,CYP,1974,12828
Czechoslovakia,OWID_CZS,1974,10900
Democratic Republic of Congo,COD,1974,499331
East Germany,OWID_GDR,1974,18000
Ecuador,ECU,1974,179
Finland,FIN,1974,36667
France,FRA,1974,392
Greece,GRC,1974,1500
Guatemala,GTM,1974,1600
India,IND,1974,20457
Indonesia,IDN,1974,64600
Iran,IRN,1974,4000
Ireland,IRL,1974,12700
Israel,ISR,1974,9488
Italy,ITA,1974,900
Japan,JPN,1974,82135
Kenya,KEN,1974,70
Malaysia,MYS,1974,0
Mauritania,MRT,1974,20079
Mexico,MEX,1974,82670
Morocco,MAR,1974,4670
Myanmar,MMR,1974,70
Namibia,NAM,1974,33200
Nicaragua,NIC,1974,1775
North Korea,PRK,1974,14000
Norway,NOR,1974,24120
Papua New Guinea,PNG,1974,184100
Peru,PER,1974,211593
Philippines,PHL,1974,225485
Poland,POL,1974,185000
Portugal,PRT,1974,568
Romania,ROU,1974,40000
South Africa,ZAF,1974,179111
South Korea,KOR,1974,3235
Spain,ESP,1974,46753
Sweden,SWE,1974,40637
Taiwan,TWN,1974,2500
Turkey,TUR,1974,30000
USSR,OWID_USS,1974,1060000
Uganda,UGA,1974,11500
United Kingdom,GBR,1974,434
United States,USA,1974,1448776
West Germany,OWID_GFR,1974,1734
World,OWID_WRL,1974,7100000
Yugoslavia,OWID_YGS,1974,112080
Zambia,ZMB,1974,697956
Zimbabwe,ZWE,1974,40000
Albania,ALB,1975,9000
Algeria,DZA,1975,378
Argentina,ARG,1975,380
Australia,AUS,1975,218961
Austria,AUT,1975,1923
Bolivia,BOL,1975,5882
Botswana,BWA,1975,6504
Brazil,BRA,1975,1922
Bulgaria,BGR,1975,55000
Canada,CAN,1975,733826
Chile,CHL,1975,828300
China,CHN,1975,140000
Colombia,COL,1975,0
Congo,COG,1975,918
Cuba,CUB,1975,2777
Cyprus,CYP,1975,9866
Czechoslovakia,OWID_CZS,1975,10700
Democratic Republic of Congo,COD,1975,464928
East Germany,OWID_GDR,1975,16500
Ecuador,ECU,1975,239
Finland,FIN,1975,38000
France,FRA,1975,183
Greece,GRC,1975,2500
Guatemala,GTM,1975,3300
Honduras,HND,1975,200
Hungary,HUN,1975,400
India,IND,1975,25155
Indonesia,IDN,1975,63500
Iran,IRN,1975,4000
Ireland,IRL,1975,9839
Israel,ISR,1975,8035
Italy,ITA,1975,800
Japan,JPN,1975,84639
Kenya,KEN,1975,70
Malaysia,MYS,1975,3800
Mauritania,MRT,1975,6582
Mexico,MEX,1975,78196
Morocco,MAR,1975,4600
Myanmar,MMR,1975,86
Namibia,NAM,1975,34900
Nicaragua,NIC,1975,600
North Korea,PRK,1975,15000
Norway,NOR,1975,26647
Papua New Guinea,PNG,1975,172477
Peru,PER,1975,165813
Philippines,PHL,1975,225775
Poland,POL,1975,230000
Portugal,PRT,1975,447
Romania,ROU,1975,44000
South Africa,ZAF,1975,178927
South Korea,KOR,1975,2330
Spain,ESP,1975,30020
Sweden,SWE,1975,40634
Taiwan,TWN,1975,1900
Turkey,TUR,1975,27300
USSR,OWID_USS,1975,1100000
Uganda,UGA,1975,8500
United Kingdom,GBR,1975,652
United States,USA,1975,1282184
West Germany,OWID_GFR,1975,1961
World,OWID_WRL,1975,6740000
Yugoslavia,OWID_YGS,1975,114894
Zambia,ZMB,1975,647163
Zimbabwe,ZWE,1975,47579
Albania,ALB,1976,10000
Algeria,DZA,1976,400
Argentina,ARG,1976,265
Australia,AUS,1976,218480
Austria,AUT,1976,1138
Bolivia,BOL,1976,4680
Botswana,BWA,1976,12473
Brazil,BRA,1976,54
Bulgaria,BGR,1976,57000
Canada,CAN,1976,730930
Chile,CHL,1976,1005200
China,CHN,1976,150000
Colombia,COL,1976,260
Congo,COG,1976,408
Cuba,CUB,1976,2898
Cyprus,CYP,1976,7900
Czechoslovakia,OWID_CZS,1976,8500
Democratic Republic of Congo,COD,1976,443948
East Germany,OWID_GDR,1976,16000
Ecuador,ECU,1976,267
Finland,FIN,1976,41700
France,FRA,1976,188
Greece,GRC,1976,2600
Guatemala,GTM,1976,3500
Honduras,HND,1976,364
Hungary,HUN,1976,262
India,IND,1976,25400
Indonesia,IDN,1976,69100
Iran,IRN,1976,6000
Ireland,IRL,1976,4097
Israel,ISR,1976,2100
Italy,ITA,1976,1000
Japan,JPN,1976,81606
Malaysia,MYS,1976,18200
Mauritania,MRT,1976,10000
Mexico,MEX,1976,88970
Morocco,MAR,1976,4400
Mozambique,MOZ,1976,2000
Myanmar,MMR,1976,92
Namibia,NAM,1976,43500
Nicaragua,NIC,1976,800
North Korea,PRK,1976,15000
Norway,NOR,1976,31080
Papua New Guinea,PNG,1976,176519
Peru,PER,1976,220269
Philippines,PHL,1976,237588
Poland,POL,1976,263000
Portugal,PRT,1976,387
Romania,ROU,1976,30000
South Africa,ZAF,1976,196880
South Korea,KOR,1976,2097
Spain,ESP,1976,34867
Sweden,SWE,1976,44860
Taiwan,TWN,1976,2000
Turkey,TUR,1976,29323
USSR,OWID_USS,1976,1130000
Uganda,UGA,1976,7000
United Kingdom,GBR,1976,552
United States,USA,1976,1456564
West Germany,OWID_GFR,1976,1613
World,OWID_WRL,1976,7260000
Yugoslavia,OWID_YGS,1976,120130
Zambia,ZMB,1976,711681
Zimbabwe,ZWE,1976,48186
Albania,ALB,1977,10000
Algeria,DZA,1977,400
Argentina,ARG,1977,169
Australia,AUS,1977,221579
Bolivia,BOL,1977,3670
Botswana,BWA,1977,11788
Brazil,BRA,1977,0
Bulgaria,BGR,1977,57000
Canada,CAN,1977,759423
Chile,CHL,1977,1056200
China,CHN,1977,155000
Colombia,COL,1977,78
Congo,COG,1977,1015
Cuba,CUB,1977,2583
Cyprus,CYP,1977,6800
Czechoslovakia,OWID_CZS,1977,7800
Democratic Republic of Congo,COD,1977,452716
East Germany,OWID_GDR,1977,17000
Ecuador,ECU,1977,765
Finland,FIN,1977,52113
France,FRA,1977,128
Greece,GRC,1977,3500
Guatemala,GTM,1977,2500
Honduras,HND,1977,535
Hungary,HUN,1977,304
India,IND,1977,29011
Indonesia,IDN,1977,57100
Iran,IRN,1977,6000
Ireland,IRL,1977,4829
Israel,ISR,1977,0
Italy,ITA,1977,700
Japan,JPN,1977,81395
Malaysia,MYS,1977,24000
Mauritania,MRT,1977,7640
Mexico,MEX,1977,89662
Morocco,MAR,1977,3370
Mozambique,MOZ,1977,3000
Myanmar,MMR,1977,100
Namibia,NAM,1977,49200
Nicaragua,NIC,1977,300
North Korea,PRK,1977,15000
Norway,NOR,1977,29053
Papua New Guinea,PNG,1977,182291
Peru,PER,1977,338110
Philippines,PHL,1977,272792
Poland,POL,1977,282000
Portugal,PRT,1977,3208
Romania,ROU,1977,27000
South Africa,ZAF,1977,205414
South Korea,KOR,1977,1688
Spain,ESP,1977,43462
Sweden,SWE,1977,44764
Taiwan,TWN,1977,2000
Turkey,TUR,1977,34979
USSR,OWID_USS,1977,1100000
Uganda,UGA,1977,4000
United Kingdom,GBR,1977,453
United States,USA,1977,1364375
West Germany,OWID_GFR,1977,1210
World,OWID_WRL,1977,7420000
Yugoslavia,OWID_YGS,1977,116218
Zambia,ZMB,1977,658788
Zimbabwe,ZWE,1977,34767
Albania,ALB,1978,11500
Algeria,DZA,1978,200
Argentina,ARG,1978,319
Australia,AUS,1978,222111
Bolivia,BOL,1978,3267
Botswana,BWA,1978,14615
Brazil,BRA,1978,0
Bulgaria,BGR,1978,57000
Canada,CAN,1978,659380
Chile,CHL,1978,1034200
China,CHN,1978,160000
Colombia,COL,1978,100
Congo,COG,1978,595
Cuba,CUB,1978,2821
Cyprus,CYP,1978,4678
Czechoslovakia,OWID_CZS,1978,8200
Democratic Republic of Congo,COD,1978,472533
East Germany,OWID_GDR,1978,15000
Ecuador,ECU,1978,508
Finland,FIN,1978,52089
France,FRA,1978,200
Greece,GRC,1978,1500
Guatemala,GTM,1978,2023
Honduras,HND,1978,427
Hungary,HUN,1978,203
India,IND,1978,26640
Indonesia,IDN,1978,58000
Iran,IRN,1978,6000
Ireland,IRL,1978,4700
Israel,ISR,1978,0
Italy,ITA,1978,531
Japan,JPN,1978,71951
Malaysia,MYS,1978,26000
Mauritania,MRT,1978,1773
Mexico,MEX,1978,87186
Mongolia,MNG,1978,4000
Morocco,MAR,1978,4300
Mozambique,MOZ,1978,300
Myanmar,MMR,1978,100
Namibia,NAM,1978,37700
North Korea,PRK,1978,15000
Norway,NOR,1978,29073
Papua New Guinea,PNG,1978,198603
Peru,PER,1978,366753
Philippines,PHL,1978,263589
Poland,POL,1978,312000
Portugal,PRT,1978,2962
Romania,ROU,1978,27000
South Africa,ZAF,1978,205745
South Korea,KOR,1978,715
Spain,ESP,1978,40448
Sweden,SWE,1978,47412
Taiwan,TWN,1978,800
Turkey,TUR,1978,27188
USSR,OWID_USS,1978,1140000
Uganda,UGA,1978,7200
United Kingdom,GBR,1978,135
United States,USA,1978,1357587
West Germany,OWID_GFR,1978,821
World,OWID_WRL,1978,7280000
Yugoslavia,OWID_YGS,1978,123319
Zambia,ZMB,1978,654012
Zimbabwe,ZWE,1978,33848
Albania,ALB,1979,9700
Algeria,DZA,1979,200
Argentina,ARG,1979,89
Australia,AUS,1979,237614
Bolivia,BOL,1979,1797
Botswana,BWA,1979,14563
Brazil,BRA,1979,0
Bulgaria,BGR,1979,60000
Canada,CAN,1979,636383
Chile,CHL,1979,1062700
China,CHN,1979,160000
Colombia,COL,1979,336
Congo,COG,1979,1000
Cuba,CUB,1979,2840
Cyprus,CYP,1979,1200
Czechoslovakia,OWID_CZS,1979,9000
Democratic Republic of Congo,COD,1979,401416
East Germany,OWID_GDR,1979,14000
Ecuador,ECU,1979,666
Finland,FIN,1979,44349
France,FRA,1979,400
Greece,GRC,1979,0
Guatemala,GTM,1979,1791
Honduras,HND,1979,288
Hungary,HUN,1979,116
India,IND,1979,27717
Indonesia,IDN,1979,60198
Iran,IRN,1979,3000
Ireland,IRL,1979,5000
Israel,ISR,1979,0
Italy,ITA,1979,489
Japan,JPN,1979,59960
Malaysia,MYS,1979,24514
Mexico,MEX,1979,107109
Mongolia,MNG,1979,21700
Morocco,MAR,1979,8233
Mozambique,MOZ,1979,200
Myanmar,MMR,1979,100
Namibia,NAM,1979,41900
North Korea,PRK,1979,15000
Norway,NOR,1979,28659
Oman,OMN,1979,0
Papua New Guinea,PNG,1979,170788
Peru,PER,1979,390720
Philippines,PHL,1979,298300
Poland,POL,1979,340000
Portugal,PRT,1979,3652
Romania,ROU,1979,29000
South Africa,ZAF,1979,190591
South Korea,KOR,1979,475
Spain,ESP,1979,42982
Sweden,SWE,1979,45773
Taiwan,TWN,1979,600
Turkey,TUR,1979,30521
USSR,OWID_USS,1979,1130000
United Kingdom,GBR,1979,0
United States,USA,1979,1446586
West Germany,OWID_GFR,1979,851
World,OWID_WRL,1979,7350000
Yugoslavia,OWID_YGS,1979,111421
Zambia,ZMB,1979,586046
Zimbabwe,ZWE,1979,29724
Albania,ALB,1980,11500
Algeria,DZA,1980,200
Argentina,ARG,1980,182
Australia,AUS,1980,243541
Bolivia,BOL,1980,1882
Botswana,BWA,1980,15554
Brazil,BRA,1980,402
Bulgaria,BGR,1980,62000
Canada,CAN,1980,716363
Chile,CHL,1980,1067900
China,CHN,1980,165000
Colombia,COL,1980,442
Congo,COG,1980,1300
Cuba,CUB,1980,3350
Cyprus,CYP,1980,0
Czechoslovakia,OWID_CZS,1980,11500
Democratic Republic of Congo,COD,1980,462202
East Germany,OWID_GDR,1980,11800
Ecuador,ECU,1980,923
Finland,FIN,1980,53000
France,FRA,1980,100
Greece,GRC,1980,100
Guatemala,GTM,1980,813
Honduras,HND,1980,269
India,IND,1980,26819
Indonesia,IDN,1980,58990
Iran,IRN,1980,1000
Ireland,IRL,1980,4000
Israel,ISR,1980,400
Italy,ITA,1980,604
Japan,JPN,1980,52553
Malaysia,MYS,1980,26990
Mexico,MEX,1980,175399
Mongolia,MNG,1980,44000
Morocco,MAR,1980,7088
Mozambique,MOZ,1980,145
Myanmar,MMR,1980,56
Namibia,NAM,1980,39200
North Korea,PRK,1980,12000
Norway,NOR,1980,28891
Oman,OMN,1980,0
Papua New Guinea,PNG,1980,146813
Peru,PER,1980,366800
Philippines,PHL,1980,304504
Poland,POL,1980,343000
Portugal,PRT,1980,3889
Romania,ROU,1980,28000
South Africa,ZAF,1980,210348
South Korea,KOR,1980,372
Spain,ESP,1980,48483
Sweden,SWE,1980,42785
Taiwan,TWN,1980,500
Turkey,TUR,1980,21300
USSR,OWID_USS,1980,980000
United Kingdom,GBR,1980,200
United States,USA,1980,1181116
West Germany,OWID_GFR,1980,1274
World,OWID_WRL,1980,7200000
Yugoslavia,OWID_YGS,1980,114786
Zambia,ZMB,1980,609935
Zimbabwe,ZWE,1980,26901
Albania,ALB,1981,11500
Algeria,DZA,1981,200
Argentina,ARG,1981,80
Australia,AUS,1981,231339
Bolivia,BOL,1981,2637
Botswana,BWA,1981,17815
Brazil,BRA,1981,11777
Bulgaria,BGR,1981,62000
Canada,CAN,1981,691328
Chile,CHL,1981,1081100
China,CHN,1981,170000
Colombia,COL,1981,315
Congo,COG,1981,245
Cuba,CUB,1981,2908
Cyprus,CYP,1981,259
Czechoslovakia,OWID_CZS,1981,9200
Democratic Republic of Congo,COD,1981,506481
East Germany,OWID_GDR,1981,12000
Ecuador,ECU,1981,825
Finland,FIN,1981,41892
France,FRA,1981,98
Greece,GRC,1981,100
Guatemala,GTM,1981,726
Honduras,HND,1981,454
India,IND,1981,25200
Indonesia,IDN,1981,62550
Iran,IRN,1981,2000
Ireland,IRL,1981,3400
Israel,ISR,1981,4400
Italy,ITA,1981,771
Japan,JPN,1981,51513
Malaysia,MYS,1981,28642
Mexico,MEX,1981,230466
Mongolia,MNG,1981,71800
Morocco,MAR,1981,6767
Mozambique,MOZ,1981,194
Myanmar,MMR,1981,77
Namibia,NAM,1981,44300
North Korea,PRK,1981,12000
Norway,NOR,1981,28123
Oman,OMN,1981,0
Papua New Guinea,PNG,1981,165420
Peru,PER,1981,327614
Philippines,PHL,1981,302328
Poland,POL,1981,294600
Portugal,PRT,1981,2849
Romania,ROU,1981,30000
South Africa,ZAF,1981,208567
South Korea,KOR,1981,501
Spain,ESP,1981,56423
Sweden,SWE,1981,51472
Taiwan,TWN,1981,500
Turkey,TUR,1981,32085
USSR,OWID_USS,1981,1000000
United Kingdom,GBR,1981,607
United States,USA,1981,1538160
West Germany,OWID_GFR,1981,1400
World,OWID_WRL,1981,7690000
Yugoslavia,OWID_YGS,1981,110961
Zambia,ZMB,1981,587442
Zimbabwe,ZWE,1981,24583
Albania,ALB,1982,14000
Algeria,DZA,1982,200
Argentina,ARG,1982,37
Australia,AUS,1982,245322
Bolivia,BOL,1982,2270
Botswana,BWA,1982,18375
Brazil,BRA,1982,24482
Bulgaria,BGR,1982,65000
Canada,CAN,1982,612455
Chile,CHL,1982,1242200
China,CHN,1982,175000
Colombia,COL,1982,113
Congo,COG,1982,100
Cuba,CUB,1982,2674
Cyprus,CYP,1982,841
Czechoslovakia,OWID_CZS,1982,9300
Democratic Republic of Congo,COD,1982,505385
East Germany,OWID_GDR,1982,13000
Finland,FIN,1982,41739
France,FRA,1982,137
Greece,GRC,1982,100
Honduras,HND,1982,758
India,IND,1982,24000
Indonesia,IDN,1982,75136
Iran,IRN,1982,43000
Ireland,IRL,1982,1573
Israel,ISR,1982,4100
Italy,ITA,1982,138
Japan,JPN,1982,50658
Malaysia,MYS,1982,30906
Mexico,MEX,1982,239091
Mongolia,MNG,1982,95000
Morocco,MAR,1982,20723
Mozambique,MOZ,1982,224
Myanmar,MMR,1982,101
Namibia,NAM,1982,48800
North Korea,PRK,1982,12000
Norway,NOR,1982,27590
Oman,OMN,1982,0
Papua New Guinea,PNG,1982,170004
Peru,PER,1982,356300
Philippines,PHL,1982,292086
Poland,POL,1982,376000
Portugal,PRT,1982,2287
Romania,ROU,1982,30000
South Africa,ZAF,1982,195643
South Korea,KOR,1982,320
Spain,ESP,1982,47614
Sweden,SWE,1982,52682
Turkey,TUR,1982,32789
USSR,OWID_USS,1982,1010000
United Kingdom,GBR,1982,649
United States,USA,1982,1146975
West Germany,OWID_GFR,1982,1300
World,OWID_WRL,1982,7580000
Yugoslavia,OWID_YGS,1982,119299
Zambia,ZMB,1982,529641
Zimbabwe,ZWE,1982,24800
Albania,ALB,1983,15000
Algeria,DZA,1983,200
Argentina,ARG,1983,318
Australia,AUS,1983,261476
Bolivia,BOL,1983,1982
Botswana,BWA,1983,20266
Brazil,BRA,1983,32077
Bulgaria,BGR,1983,68000
Canada,CAN,1983,653040
Chile,CHL,1983,1257500
China,CHN,1983,175000
Colombia,COL,1983,162
Congo,COG,1983,100
Cuba,CUB,1983,2688
Cyprus,CYP,1983,1148
Czechoslovakia,OWID_CZS,1983,9800
Democratic Republic of Congo,COD,1983,504207
East Germany,OWID_GDR,1983,12000
Finland,FIN,1983,38570
France,FRA,1983,304
Greece,GRC,1983,200
Honduras,HND,1983,650
India,IND,1983,43800
Indonesia,IDN,1983,78608
Iran,IRN,1983,57600
Italy,ITA,1983,1556
Japan,JPN,1983,46045
Malaysia,MYS,1983,29136
Mexico,MEX,1983,206062
Mongolia,MNG,1983,95000
Morocco,MAR,1983,22936
Mozambique,MOZ,1983,250
Myanmar,MMR,1983,4200
Namibia,NAM,1983,52100
North Korea,PRK,1983,10000
Norway,NOR,1983,22568
Oman,OMN,1983,11300
Papua New Guinea,PNG,1983,183191
Peru,PER,1983,322200
Philippines,PHL,1983,271403
Poland,POL,1983,402300
Portugal,PRT,1983,375
Romania,ROU,1983,28000
South Africa,ZAF,1983,212112
South Korea,KOR,1983,389
Spain,ESP,1983,54818
Sweden,SWE,1983,75338
Turkey,TUR,1983,24767
USSR,OWID_USS,1983,1020000
United Kingdom,GBR,1983,652
United States,USA,1983,1038098
West Germany,OWID_GFR,1983,1200
World,OWID_WRL,1983,7610000
Yugoslavia,OWID_YGS,1983,129506
Zambia,ZMB,1983,591300
Zimbabwe,ZWE,1983,21560
Albania,ALB,1984,14100
Algeria,DZA,1984,200
Argentina,ARG,1984,223
Australia,AUS,1984,235671
Bolivia,BOL,1984,1610
Botswana,BWA,1984,21517
Brazil,BRA,1984,35212
